Type,NIS,EstPx,EstPy,EstVx,EstVy,GtPx,GtPy,GtVx,GtVy
L,0.000000,0.312243,0.580340,0.000000,0.000000,0.600000,0.600000,5.199937,0.000000
R,0.069211,0.779913,0.722413,6.652590,1.976743,0.859997,0.600045,5.199747,0.001797
L,0.757419,1.195447,0.535063,10.316703,-0.010518,1.119984,0.600225,5.199429,0.005390
R,12.863527,1.032115,0.563929,4.613210,2.600598,1.379955,0.600629,5.198979,0.010778
L,5.274029,1.358774,0.703667,4.975001,2.206331,1.639904,0.601347,5.198392,0.017960
R,11.888694,1.719657,0.648446,5.396163,1.080951,1.899823,0.602470,5.197661,0.026932
L,1.486260,2.034622,0.698956,5.516821,0.946256,2.159704,0.604086,5.196776,0.037693
R,3.619870,2.276651,0.698632,5.299014,0.729449,2.419540,0.606284,5.195728,0.050239
L,0.631743,2.565956,0.724785,5.352377,0.647881,2.679323,0.609155,5.194504,0.064565
R,1.446262,2.848101,0.709108,5.336717,0.419564,2.939043,0.612786,5.193090,0.080668
L,0.713174,3.096454,0.716524,5.306737,0.385493,3.198690,0.617267,5.191470,0.098541
R,4.960628,3.392293,0.644275,5.333757,0.007838,3.458253,0.622685,5.189627,0.118180
L,5.888207,3.707161,0.578325,5.430764,-0.265840,3.717722,0.629130,5.187542,0.139576
R,1.074763,3.988958,0.594126,5.478483,-0.161551,3.977082,0.636689,5.185194,0.162724
L,0.080718,4.271094,0.583745,5.492820,-0.172863,4.236322,0.645449,5.182560,0.187614
R,1.046680,4.528196,0.601625,5.340285,-0.092135,4.495424,0.655498,5.179618,0.214238
L,10.198346,4.715912,0.675072,5.197025,0.191231,4.754374,0.666921,5.176340,0.242587
R,1.423560,4.967977,0.671294,5.045386,0.130769,5.013155,0.679804,5.172700,0.272649
L,3.322212,5.270455,0.666184,5.135213,0.082032,5.271746,0.694234,5.168671,0.304413
R,1.646896,5.532043,0.671540,5.271333,0.099446,5.530128,0.710295,5.164221,0.337868
L,1.943939,5.832544,0.682266,5.336444,0.110531,5.788279,0.728072,5.159319,0.372999
R,3.676963,6.072319,0.624862,5.130259,-0.097992,6.046176,0.747647,5.153933,0.409793
L,3.421946,6.326492,0.715380,5.115911,0.194783,6.303794,0.769103,5.148029,0.448233
R,0.319711,6.576814,0.744203,5.064762,0.249697,6.561105,0.792523,5.141571,0.488305
L,0.144291,6.822844,0.744436,5.053090,0.214011,6.818081,0.817988,5.134523,0.529990
R,1.815007,7.064148,0.730171,4.878196,0.124610,7.074691,0.845578,5.126847,0.573269
L,2.517413,7.276812,0.808519,4.814235,0.342227,7.330903,0.875373,5.118505,0.618123
R,5.330282,7.577153,0.822484,5.159033,0.350038,7.586684,0.907449,5.109456,0.664531
L,0.477313,7.832247,0.801356,5.158127,0.237829,7.841995,0.941886,5.099659,0.712469
R,2.209393,8.080088,0.818376,4.977647,0.238273,8.096800,0.978759,5.089074,0.761915
L,0.245913,8.315599,0.834994,4.952972,0.253549,8.351056,1.018142,5.077658,0.812843
R,6.570083,8.589655,0.925180,5.235068,0.498549,8.604722,1.060109,5.065366,0.865226
L,0.680883,8.832565,0.985378,5.197650,0.601561,8.857753,1.104732,5.052156,0.919037
R,6.785577,9.124984,1.023819,5.244698,0.620209,9.110101,1.152082,5.037982,0.974245
L,0.644721,9.365889,1.055349,5.205928,0.624352,9.361717,1.202229,5.022799,1.030819
R,4.341618,9.647229,1.129285,5.255815,0.745225,9.612549,1.255239,5.006562,1.088727
L,3.031694,9.926896,1.262027,5.275396,1.011150,9.862544,1.311179,4.989224,1.147935
R,4.945892,10.172259,1.344137,5.017711,1.073329,10.111650,1.370112,4.970739,1.208405
L,1.209352,10.393212,1.423702,4.959650,1.149507,10.359790,1.432101,4.951060,1.270101
R,2.871995,10.623190,1.494026,4.725691,1.159213,10.606930,1.497206,4.930142,1.332982
L,0.920526,10.840976,1.519546,4.696872,1.072230,10.852990,1.565486,4.907936,1.397008
R,2.343575,11.112383,1.561979,4.889046,1.053815,11.097900,1.636997,4.884396,1.462135
L,1.965063,11.394828,1.608129,4.959392,1.030387,11.341610,1.711793,4.859477,1.528318
R,0.574925,11.626277,1.649209,4.863165,0.993818,11.584030,1.789925,4.833131,1.595511
L,0.355832,11.853042,1.718838,4.830319,1.050683,11.825110,1.871443,4.805313,1.663664
R,1.661329,12.113728,1.802577,4.990727,1.154040,12.064750,1.956393,4.775977,1.732729
L,0.234965,12.358898,1.833175,4.986753,1.080662,12.302890,2.044820,4.745079,1.802651
R,0.438605,12.618533,1.881897,5.093645,1.077941,12.539440,2.136766,4.712575,1.873377
L,4.330167,12.818971,2.033807,4.980227,1.351710,12.774330,2.232269,4.678422,1.944850
R,2.738781,13.089912,2.140951,5.129047,1.476468,13.007470,2.331365,4.642576,2.017013
L,3.362816,13.296764,2.295442,5.025481,1.701858,13.238780,2.434087,4.604997,2.089806
R,11.937530,13.471703,2.421452,4.611509,1.776901,13.468160,2.540465,4.565645,2.163167
L,1.075200,13.720464,2.548372,4.638028,1.876727,13.695520,2.650527,4.524480,2.237032
R,0.227932,13.941607,2.646696,4.581134,1.883589,13.920790,2.764295,4.481466,2.311336
L,1.209516,14.169396,2.814935,4.564298,2.082466,14.143850,2.881790,4.436565,2.386012
R,0.880490,14.422992,2.921585,4.738858,2.112073,14.364620,3.003029,4.389744,2.460991
L,1.940312,14.631431,2.990589,4.693961,2.019263,14.583000,3.128024,4.340970,2.536202
R,3.735247,14.865514,3.139166,4.738378,2.160365,14.798900,3.256787,4.290211,2.611572
L,1.999061,15.077622,3.348547,4.671195,2.434893,15.012200,3.389323,4.237439,2.687028
R,3.434562,15.290268,3.495301,4.461559,2.466925,15.222810,3.525634,4.182627,2.762494
